dataset,layer_id,num_tokens,min_entropy,mean_entropy,diversity_ratio,fragmentation_ratio,min_entropy_l2,mean_l2
kv_retrieval,11,8576,0.0000,0.8867,0.3719,0.6122,21.5000,22.0000
kv_retrieval,12,8576,0.0000,0.7227,0.4947,0.5759,23.6250,17.7500
kv_retrieval,13,8576,0.0000,0.8594,0.5181,0.7011,21.3750,15.1250
kv_retrieval,14,8576,0.0000,0.3145,0.5859,0.6619,16.0000,17.5000
kv_retrieval,15,8576,0.0000,0.6133,0.5792,0.6171,27.5000,19.1250
kv_retrieval,16,8576,0.0000,0.3320,0.5717,0.4973,15.0625,15.5625
kv_retrieval,17,8576,0.0000,0.5078,0.5533,0.5577,16.8750,16.3750
kv_retrieval,18,8576,0.0000,0.7070,0.5396,0.5574,69.5000,18.6250
kv_retrieval,19,8576,0.0000,0.6523,0.6557,0.5115,110.5000,18.7500
kv_retrieval,20,8576,0.0003,0.6211,0.5112,0.5529,15.3125,16.6250
kv_retrieval,21,8576,0.0000,0.6094,0.5672,0.5303,16.1250,17.0000
kv_retrieval,22,8576,0.0000,0.4434,0.5778,0.5592,16.0000,15.5625
kv_retrieval,23,8576,0.0000,0.5664,0.5628,0.5508,19.3750,16.3750
kv_retrieval,24,8576,0.0000,0.4766,0.4953,0.6130,17.5000,18.8750
kv_retrieval,25,8576,0.0000,0.7227,0.6401,0.6059,18.2500,17.5000
kv_retrieval,26,8576,0.0000,0.5859,0.6311,0.6636,23.0000,17.2500
kv_retrieval,27,8576,0.0000,0.7969,0.6445,0.5848,129.0000,22.2500
kv_retrieval,0,50048,1.0938,6.4062,0.6895,0.7580,179.0000,20.0000
kv_retrieval,1,50048,0.2002,5.7500,0.8086,0.9079,9.6875,9.3750
kv_retrieval,2,50048,0.0236,2.3750,0.6680,0.9390,9.0000,10.7500
kv_retrieval,3,50048,0.0000,3.1875,0.7564,0.9251,10.6875,9.7500
kv_retrieval,4,50048,0.0000,0.5938,0.7274,0.8531,29.2500,21.7500
kv_retrieval,5,50048,0.0000,0.9102,0.7132,0.9139,17.8750,19.6250
kv_retrieval,6,50048,0.0034,1.7344,0.7254,0.8688,14.9375,20.0000
